project,_id,key,issuetype_name,priority_name,status_name,age_days,watch_count,votes_count,has_assignee,components_count,comment_count,status_changes_count
FLINK,13585464,FLINK-35816,Bug,Major,Closed,1,2,0,1,1,1,2
FLINK,13585465,FLINK-35817,Bug,Blocker,Open,17,4,0,0,1,2,0
FLINK,13585466,FLINK-35818,Bug,Major,Open,95,1,0,0,1,0,0
FLINK,13585467,FLINK-35819,Sub-task,Blocker,Resolved,1,2,0,1,1,2,1
FLINK,13585471,FLINK-35820,Bug,Major,Closed,52,2,0,1,1,1,1
FLINK,13585478,FLINK-35821,Bug,Major,Closed,0,3,0,0,1,2,1
FLINK,13585491,FLINK-35822,Improvement,Major,Closed,95,1,0,1,3,1,1
FLINK,13585519,FLINK-35823,Improvement,Major,Closed,0,1,0,0,1,2,1
FLINK,13585522,FLINK-35824,Improvement,Minor,Resolved,0,1,0,1,1,1,1
FLINK,13585529,FLINK-35825,Improvement,Major,Open,90,1,0,1,1,0,0
FLINK,13585538,FLINK-35826,Bug,Major,Open,3,4,0,1,1,6,0
FLINK,13585577,FLINK-35827,Bug,Major,Closed,61,4,0,1,1,2,1
FLINK,13585578,FLINK-35828,Bug,Major,Open,0,2,0,0,1,0,0
FLINK,13585580,FLINK-35829,Improvement,Minor,Closed,1,2,0,1,1,1,2
FLINK,13585659,FLINK-35830,Bug,Major,Open,0,1,0,0,1,0,0
FLINK,13585746,FLINK-35831,Improvement,Major,Closed,0,1,0,1,1,1,1
FLINK,13585764,FLINK-35832,Bug,Critical,Resolved,4,6,0,1,1,8,1
FLINK,13585766,FLINK-35833,Bug,Critical,Closed,91,6,2,1,1,3,2
FLINK,13585780,FLINK-35834,Bug,Minor,Open,0,2,0,0,1,1,0
FLINK,13585782,FLINK-35835,Bug,Major,Resolved,49,4,0,1,1,7,1
FLINK,13585789,FLINK-35836,Bug,Major,Closed,49,1,0,1,1,1,1
FLINK,13585794,FLINK-35837,Bug,Major,Resolved,49,1,0,1,1,2,1
FLINK,13585805,FLINK-35838,New Feature,Major,Open,0,1,0,0,0,0,0
FLINK,13585806,FLINK-35839,Sub-task,Major,Open,0,1,0,0,0,0,0
FLINK,13585807,FLINK-35840,Sub-task,Major,Open,0,1,0,0,0,0,0
FLINK,13585810,FLINK-35841,Sub-task,Major,Open,0,1,0,0,0,0,0
FLINK,13585811,FLINK-35842,Sub-task,Major,Open,0,1,0,0,0,0,0
FLINK,13585812,FLINK-35843,Bug,Major,Resolved,49,1,0,1,0,3,1
FLINK,13585836,FLINK-35844,New Feature,Major,Closed,7,1,0,1,0,1,1
FLINK,13585837,FLINK-35845,Sub-task,Major,Resolved,0,1,0,1,0,0,1
FLINK,13585838,FLINK-35846,Sub-task,Major,Resolved,0,1,0,1,0,0,1
FLINK,13585839,FLINK-35847,Sub-task,Major,Resolved,17,1,0,1,0,0,1
FLINK,13585840,FLINK-35848,Sub-task,Major,Closed,7,1,0,1,0,2,1
FLINK,13585843,FLINK-35849,New Feature,Major,Open,0,3,0,1,1,2,0
FLINK,13585847,FLINK-35850,Sub-task,Major,Open,41,3,0,1,1,0,0
FLINK,13585914,FLINK-35851,Improvement,Minor,Resolved,3,2,0,1,1,3,1
FLINK,13585921,FLINK-35852,Bug,Major,Open,29,2,0,0,1,4,0
FLINK,13585952,FLINK-35853,Bug,Major,Open,6,2,0,0,1,3,0
FLINK,13586085,FLINK-35854,Technical Debt,Major,Open,0,1,0,0,1,0,0
FLINK,13586086,FLINK-35855,Technical Debt,Major,Open,0,1,0,0,1,0,0
FLINK,13586087,FLINK-35856,Technical Debt,Major,Open,100,1,0,0,1,0,0
FLINK,13586102,FLINK-35857,Bug,Major,Closed,7,4,1,1,1,4,1
FLINK,13586110,FLINK-35858,Sub-task,Major,Resolved,47,1,0,1,1,1,1
FLINK,13586114,FLINK-35859,Bug,Minor,Resolved,39,3,0,1,1,5,1
FLINK,13586197,FLINK-35860,Bug,Major,Resolved,46,2,0,1,1,4,1
FLINK,13586207,FLINK-35861,Bug,Minor,Open,0,3,0,0,2,3,0
FLINK,13586209,FLINK-35862,Bug,Not a Priority,Open,106,2,0,0,1,2,0
FLINK,13586210,FLINK-35863,Bug,Blocker,Resolved,25,2,0,1,1,3,1
FLINK,13586255,FLINK-35864,Sub-task,Major,Open,14,2,0,1,1,3,0
FLINK,13586256,FLINK-35865,Bug,Minor,Resolved,4,1,0,1,1,1,1
FLINK,13586309,FLINK-35866,Bug,Major,Open,0,2,0,0,1,1,0
FLINK,13586319,FLINK-35867,Bug,Blocker,Open,25,3,0,0,3,13,0
FLINK,13586354,FLINK-35868,Improvement,Major,Resolved,6,2,0,1,1,1,1
FLINK,13586370,FLINK-35869,Bug,Major,Open,0,2,0,0,1,0,0
FLINK,13586419,FLINK-35870,Improvement,Minor,Open,7,1,0,0,1,0,0
FLINK,13586444,FLINK-35871,Technical Debt,Not a Priority,Resolved,1,2,0,1,2,1,1
FLINK,13586450,FLINK-35872,Sub-task,Blocker,Resolved,42,3,0,1,2,1,1
FLINK,13586526,FLINK-35873,New Feature,Major,Open,44,2,0,1,1,0,0
FLINK,13586535,FLINK-35874,Improvement,Minor,Resolved,64,2,0,1,1,3,1
FLINK,13586615,FLINK-35875,Bug,Minor,Open,0,1,0,0,1,0,0
FLINK,13586624,FLINK-35876,Bug,Major,Open,0,2,0,0,1,1,0
FLINK,13586629,FLINK-35877,Improvement,Minor,Closed,41,3,0,1,1,2,1
FLINK,13586633,FLINK-35878,New Feature,Major,Resolved,8,1,0,1,0,1,1
FLINK,13586634,FLINK-35879,Sub-task,Major,Resolved,8,1,0,1,0,0,2
FLINK,13586635,FLINK-35880,Sub-task,Major,Resolved,8,1,0,1,0,0,2
FLINK,13586636,FLINK-35881,Sub-task,Major,Resolved,8,1,0,1,0,0,1
FLINK,13586637,FLINK-35882,Sub-task,Major,Resolved,8,1,0,1,0,0,1
FLINK,13586654,FLINK-35883,Bug,Major,Open,0,1,0,0,1,1,0
FLINK,13586664,FLINK-35884,Improvement,Minor,Resolved,20,2,0,1,1,1,1
FLINK,13586671,FLINK-35885,Bug,Major,Closed,40,3,0,1,1,7,2
FLINK,13586691,FLINK-35886,Bug,Critical,Closed,40,2,0,1,2,3,2
FLINK,13586700,FLINK-35887,Bug,Major,Closed,40,3,0,1,1,6,1
FLINK,13586732,FLINK-35888,Technical Debt,Not a Priority,Open,96,2,0,1,1,0,0
FLINK,13586758,FLINK-35889,Bug,Blocker,Open,0,4,0,1,1,3,0
FLINK,13586760,FLINK-35890,Bug,Major,Open,94,2,0,1,1,0,0
FLINK,13586763,FLINK-35891,Improvement,Major,Resolved,18,2,0,1,1,1,1
FLINK,13586780,FLINK-35892,Improvement,Minor,Open,0,1,0,0,1,0,0
FLINK,13586861,FLINK-35893,Technical Debt,Major,Resolved,13,2,0,1,1,1,1
FLINK,13586878,FLINK-35894,Improvement,Major,Resolved,39,2,0,1,1,1,1
FLINK,13586891,FLINK-35895,Bug,Major,Open,0,2,0,0,2,0,0
